NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;Resultado
1654;16;0;55;2;6;3;10000;0;4
3699;36;0;46;2;6;3;2000000;0;4
1222;12;0;61;2;8;1;4000000;0;3
3611;36;0;49;4;8;3;2000000;0;4
3122;31;0;46;2;8;1;500000;0;4
3678;36;0;46;2;6;1;2000000;0;4
5033;50;0;38;2;6;3;100000;0;4
3188;31;0;44;4;2;5;500000;0;4
1333;13;0;38;2;7;1;1100000;0;3
1633;16;0;56;2;8;9;10000;0;4
6565;65;1;42;2;8;3;600000;0;3
9090;90;0;28;2;8;1;4000000;0;1
3333;33;0;52;2;8;3;4000000;0;2
1212;12;0;58;2;8;3;4000000;0;3
4040;40;0;63;4;8;3;4000000;1;3
3133;31;0;58;2;4;3;500000;0;4
5111;51;0;36;2;8;3;4000000;0;3
5522;55;0;42;4;8;9;4000000;0;3
3123;31;1;35;4;6;1;500000;0;4
1666;16;0;33;2;8;9;10000;0;4
3610;36;0;50;2;8;3;2000000;0;4
5590;55;0;35;2;7;1;4000000;0;3
1511;15;0;34;2;8;3;4000000;0;1
1415;14;0;39;2;6;1;1000000;0;4
1311;13;1;46;2;8;3;1100000;0;3
3131;31;0;43;2;8;3;500000;0;4
2222;22;1;60;4;8;3;3000000;0;1
1719;17;0;51;2;8;3;300000;0;4
3199;31;0;44;4;8;1;500000;0;4
2788;27;1;43;2;6;3;2500000;0;3
2512;25;0;73;2;7;3;2500000;0;3
5104;51;1;42;4;6;3;2500000;0;4
2020;20;0;47;2;8;3;2500000;0;3
5151;51;1;34;2;8;3;2500000;0;4
7733;77;0;33;2;6;3;2500000;0;3
4040;40;0;32;2;8;1;2500000;1;1
1800;18;0;37;4;8;3;2500000;0;4
1212;12;0;64;2;7;9;2500000;0;3
3535;35;0;28;2;8;1;2500000;0;3
3033;30;1;50;4;8;3;2500000;0;4
9011;90;1;42;4;8;3;2500000;0;3
1346;13;0;44;2;8;3;2500000;0;3
7777;77;0;52;2;8;3;2500000;0;3
6544;65;0;53;2;8;3;2500000;0;3
7755;77;0;24;4;8;1;2500000;0;3
3030;30;1;39;2;8;3;2500000;0;4
3133;31;0;53;2;6;1;2500000;0;3
1112;11;0;52;2;5;3;2500000;0;3
5155;51;0;21;4;6;1;2500000;0;4
1244;12;0;52;2;5;3;2500000;0;3
4343;43;1;35;2;8;3;2500000;0;3
1111;11;0;36;2;8;3;2500000;1;2
4400;44;0;34;4;6;3;2500000;0;4
7723;77;0;59;2;8;3;2500000;0;3
2871;28;0;67;2;3;3;2500000;0;4
5005;50;0;35;2;6;9;2500000;0;4
1919;19;0;55;4;8;3;2500000;0;3
6513;65;0;48;2;6;3;2500000;0;3
3533;35;0;37;2;7;3;2500000;0;3
5077;50;1;38;2;5;1;2500000;0;4
7070;70;0;46;4;8;3;2500000;0;3
7788;77;0;34;2;8;3;2500000;0;3
4545;45;0;55;2;8;3;2500000;1;3
5499;54;0;51;2;8;3;2500000;0;4
1525;15;0;43;2;6;1;2500000;0;3
1010;10;0;57;2;6;9;2500000;0;3
7707;77;0;44;4;8;3;2500000;0;3
1555;15;0;39;4;8;9;2500000;0;3
7000;70;0;49;2;8;3;2500000;0;3
