NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;RESULTADO
36222;36;1;38;2;6;9;240000;0;4
25333;25;0;57;2;6;3;1500000;0;3
25125;25;0;36;2;8;9;1500000;0;3
31321;31;0;38;2;8;1;500000;0;3
17707;17;0;65;2;5;3;1500000;0;3
22580;22;0;42;2;8;3;1200000;0;3
10777;10;0;46;2;3;3;1400000;0;3
14444;14;0;45;2;8;3;600000;0;3
27007;27;0;43;4;6;3;1400000;0;3
45123;45;0;31;2;6;3;1500000;0;3
65123;65;0;51;2;8;3;600000;0;3
31555;31;0;33;2;3;1;500000;0;3
43123;43;0;40;2;8;3;1900000;0;3
65222;65;0;36;2;8;3;600000;0;3
31789;31;0;43;4;6;9;500000;0;3
40456;40;1;62;4;6;1;600000;0;3
40666;40;0;58;4;6;3;600000;0;3
27077;27;1;27;4;8;3;1400000;0;3
44110;44;0;45;2;3;3;10000;0;3
43190;43;0;46;2;6;9;1900000;0;3
45333;45;0;28;2;8;1;1500000;0;3
33333;33;0;53;2;8;9;1500000;0;1
31666;31;0;54;2;8;3;500000;0;3
23888;23;1;28;4;8;3;600000;0;3
12192;12;0;42;4;6;1;600000;0;3
22111;22;0;27;2;7;1;1200000;0;3
43222;43;1;55;4;4;3;1900000;0;3
10000;10;1;37;2;6;3;1400000;0;3
15555;15;0;49;2;7;3;1900000;0;3
23456;23;0;55;2;5;3;600000;0;3
65333;65;0;55;2;3;3;600000;0;3
10272;10;0;43;2;8;9;1400000;0;3
25110;25;0;67;2;8;3;1500000;0;1
43789;43;0;40;2;5;1;1900000;0;3
13999;13;0;36;2;6;1;600000;0;3
40123;40;0;52;2;6;1;600000;0;1
22222;22;0;71;2;7;1;1200000;0;1
65000;65;0;28;2;7;1;600000;0;3
36333;36;1;60;2;4;3;240000;0;4
65029;65;0;59;4;8;5;600000;0;3
12000;12;0;39;2;8;1;600000;0;3
43333;43;0;43;2;8;3;1900000;0;1
12777;12;1;60;2;6;9;600000;0;3
33222;33;0;68;2;6;3;1500000;0;2
15115;15;0;49;2;6;1;1900000;0;3
15222;15;0;54;2;7;9;1900000;0;1
65777;65;0;28;2;8;1;600000;0;3
25123;25;0;61;2;4;3;1500000;0;3
13333;13;0;46;2;8;3;600000;0;3
40111;40;0;45;4;8;9;600000;0;2
33111;33;1;30;4;8;3;1500000;0;1
43111;43;0;48;2;8;9;1900000;0;3
22123;22;1;49;2;4;3;1200000;0;3
13444;13;0;42;2;5;1;600000;0;3
13611;13;0;60;2;8;3;600000;0;3
50555;50;0;56;4;8;9;50000;0;4
43310;43;0;45;2;6;3;1900000;0;3
45699;45;0;49;2;5;3;1500000;0;3
10222;10;0;34;2;8;1;1400000;0;3
11456;11;0;52;2;6;3;300000;0;3
22225;22;0;41;4;7;1;1200000;0;3
43007;43;0;38;4;6;1;1900000;0;3
50200;50;0;28;4;6;1;100000;0;4
50444;50;1;73;2;8;9;100000;0;4
27123;27;0;60;2;5;9;1500000;0;3
65444;65;0;42;2;6;3;400000;0;3
27133;27;0;54;2;8;1;1500000;0;3
23456;23;1;26;4;7;1;2000000;0;3
10999;10;0;49;2;6;1;1500000;0;3
16789;16;0;58;2;8;1;10000;0;4
20111;20;0;47;2;6;3;2000000;0;3
33344;33;0;57;4;4;3;1500000;0;3
33133;33;0;23;2;7;1;1500000;0;1
65190;65;0;34;2;7;3;400000;0;3
13100;13;0;47;2;8;9;800000;0;3
16000;16;0;21;4;6;1;10000;0;4
28028;28;0;49;2;8;1;2500000;0;3
